Discipline,Gender,Event,phase,Eventunit,schedule,medalflag,ENG Description,POR Description,ENG longdescription,POR longdescription,Level,Order,Eventunittype,cisSchedule,infoSchedule,Competition Schedule Description,ENG unit Description,POR unit Description
TT,W,005,A,04,Y,0,Women's Singles - Class 5 Group A,"Simples fem - classe 5, grupo A",Women's Singles - Class 5 Group A,"Simples feminino - classe 5, grupo A",EventUnit,15,HATH,N,Y,Women's Singles - Class 5 Group A Match 4,Group A,Grupo A
TT,W,005,A,05,Y,0,Women's Singles - Class 5 Group A,"Simples fem - classe 5, grupo A",Women's Singles - Class 5 Group A,"Simples feminino - classe 5, grupo A",EventUnit,15,HATH,N,Y,Women's Singles - Class 5 Group A Match 5,Group A,Grupo A
TT,W,005,A,06,Y,0,Women's Singles - Class 5 Group A,"Simples fem - classe 5, grupo A",Women's Singles - Class 5 Group A,"Simples feminino - classe 5, grupo A",EventUnit,15,HATH,N,Y,Women's Singles - Class 5 Group A Match 6,Group A,Grupo A
TT,W,005,B,01,Y,0,Women's Singles - Class 5 Group B,"Simples fem - classe 5, grupo B",Women's Singles - Class 5 Group B,"Simples feminino - classe 5, grupo B",EventUnit,15,HATH,N,Y,Women's Singles - Class 5 Group B Match 1,Group B,Grupo B
TT,W,005,B,02,Y,0,Women's Singles - Class 5 Group B,"Simples fem - classe 5, grupo B",Women's Singles - Class 5 Group B,"Simples feminino - classe 5, grupo B",EventUnit,15,HATH,N,Y,Women's Singles - Class 5 Group B Match 2,Group B,Grupo B
TT,W,005,B,03,Y,0,Women's Singles - Class 5 Group B,"Simples fem - classe 5, grupo B",Women's Singles - Class 5 Group B,"Simples feminino - classe 5, grupo B",EventUnit,15,HATH,N,Y,Women's Singles - Class 5 Group B Match 3,Group B,Grupo B
TT,W,005,B,04,Y,0,Women's Singles - Class 5 Group B,"Simples fem - classe 5, grupo B",Women's Singles - Class 5 Group B,"Simples feminino - classe 5, grupo B",EventUnit,15,HATH,N,Y,Women's Singles - Class 5 Group B Match 4,Group B,Grupo B
TT,W,005,B,05,Y,0,Women's Singles - Class 5 Group B,"Simples fem - classe 5, grupo B",Women's Singles - Class 5 Group B,"Simples feminino - classe 5, grupo B",EventUnit,15,HATH,N,Y,Women's Singles - Class 5 Group B Match 5,Group B,Grupo B
TT,W,005,B,06,Y,0,Women's Singles - Class 5 Group B,"Simples fem - classe 5, grupo B",Women's Singles - Class 5 Group B,"Simples feminino - classe 5, grupo B",EventUnit,15,HATH,N,Y,Women's Singles - Class 5 Group B Match 6,Group B,Grupo B
TT,W,005,C,01,Y,0,Women's Singles - Class 5 Group C,"Simples fem - classe 5, grupo C",Women's Singles - Class 5 Group C,"Simples feminino - classe 5, grupo C",EventUnit,15,HATH,N,Y,Women's Singles - Class 5 Group C Match 1,Group C,Grupo C
TT,W,005,C,02,Y,0,Women's Singles - Class 5 Group C,"Simples fem - classe 5, grupo C",Women's Singles - Class 5 Group C,"Simples feminino - classe 5, grupo C",EventUnit,15,HATH,N,Y,Women's Singles - Class 5 Group C Match 2,Group C,Grupo C
TT,W,005,C,03,Y,0,Women's Singles - Class 5 Group C,"Simples fem - classe 5, grupo C",Women's Singles - Class 5 Group C,"Simples feminino - classe 5, grupo C",EventUnit,15,HATH,N,Y,Women's Singles - Class 5 Group C Match 3,Group C,Grupo C
TT,W,005,C,04,Y,0,Women's Singles - Class 5 Group C,"Simples fem - classe 5, grupo C",Women's Singles - Class 5 Group C,"Simples feminino - classe 5, grupo C",EventUnit,15,HATH,N,Y,Women's Singles - Class 5 Group C Match 4,Group C,Grupo C
TT,W,005,C,05,Y,0,Women's Singles - Class 5 Group C,"Simples fem - classe 5, grupo C",Women's Singles - Class 5 Group C,"Simples feminino - classe 5, grupo C",EventUnit,15,HATH,N,Y,Women's Singles - Class 5 Group C Match 5,Group C,Grupo C
TT,W,005,C,06,Y,0,Women's Singles - Class 5 Group C,"Simples fem - classe 5, grupo C",Women's Singles - Class 5 Group C,"Simples feminino - classe 5, grupo C",EventUnit,15,HATH,N,Y,Women's Singles - Class 5 Group C Match 6,Group C,Grupo C
TT,W,005,D,01,Y,0,Women's Singles - Class 5 Group D,"Simples fem - classe 5, grupo D",Women's Singles - Class 5 Group D,"Simples feminino - classe 5, grupo D",EventUnit,15,HATH,N,Y,Women's Singles - Class 5 Group D Match 1,Group D,Grupo D
TT,W,005,D,02,Y,0,Women's Singles - Class 5 Group D,"Simples fem - classe 5, grupo D",Women's Singles - Class 5 Group D,"Simples feminino - classe 5, grupo D",EventUnit,15,HATH,N,Y,Women's Singles - Class 5 Group D Match 2,Group D,Grupo D
TT,W,005,D,03,Y,0,Women's Singles - Class 5 Group D,"Simples fem - classe 5, grupo D",Women's Singles - Class 5 Group D,"Simples feminino - classe 5, grupo D",EventUnit,15,HATH,N,Y,Women's Singles - Class 5 Group D Match 3,Group D,Grupo D
TT,W,005,D,04,Y,0,Women's Singles - Class 5 Group D,"Simples fem - classe 5, grupo D",Women's Singles - Class 5 Group D,"Simples feminino - classe 5, grupo D",EventUnit,15,HATH,N,Y,Women's Singles - Class 5 Group D Match 4,Group D,Grupo D
TT,W,005,D,05,Y,0,Women's Singles - Class 5 Group D,"Simples fem - classe 5, grupo D",Women's Singles - Class 5 Group D,"Simples feminino - classe 5, grupo D",EventUnit,15,HATH,N,Y,Women's Singles - Class 5 Group D Match 5,Group D,Grupo D
TT,W,005,D,06,Y,0,Women's Singles - Class 5 Group D,"Simples fem - classe 5, grupo D",Women's Singles - Class 5 Group D,"Simples feminino - classe 5, grupo D",EventUnit,15,HATH,N,Y,Women's Singles - Class 5 Group D Match 6,Group D,Grupo D
TT,W,005,E,01,Y,0,Women's Singles - Class 5 Group E,"Simples fem - classe 5, grupo E",Women's Singles - Class 5 Group E,"Simples feminino - classe 5, grupo E",EventUnit,15,HATH,N,Y,Women's Singles - Class 5 Group E Match 1,Group E,Grupo E
TT,W,005,E,02,Y,0,Women's Singles - Class 5 Group E,"Simples fem - classe 5, grupo E",Women's Singles - Class 5 Group E,"Simples feminino - classe 5, grupo E",EventUnit,15,HATH,N,Y,Women's Singles - Class 5 Group E Match 2,Group E,Grupo E
TT,W,005,E,03,Y,0,Women's Singles - Class 5 Group E,"Simples fem - classe 5, grupo E",Women's Singles - Class 5 Group E,"Simples feminino - classe 5, grupo E",EventUnit,15,HATH,N,Y,Women's Singles - Class 5 Group E Match 3,Group E,Grupo E
TT,W,005,E,04,Y,0,Women's Singles - Class 5 Group E,"Simples fem - classe 5, grupo E",Women's Singles - Class 5 Group E,"Simples feminino - classe 5, grupo E",EventUnit,15,HATH,N,Y,Women's Singles - Class 5 Group E Match 4,Group E,Grupo E
TT,W,005,E,05,Y,0,Women's Singles - Class 5 Group E,"Simples fem - classe 5, grupo E",Women's Singles - Class 5 Group E,"Simples feminino - classe 5, grupo E",EventUnit,15,HATH,N,Y,Women's Singles - Class 5 Group E Match 5,Group E,Grupo E
TT,W,005,E,06,Y,0,Women's Singles - Class 5 Group E,"Simples fem - classe 5, grupo E",Women's Singles - Class 5 Group E,"Simples feminino - classe 5, grupo E",EventUnit,15,HATH,N,Y,Women's Singles - Class 5 Group E Match 6,Group E,Grupo E
TT,W,005,F,01,Y,0,Women's Singles - Class 5 Group F,"Simples fem - classe 5, grupo F",Women's Singles - Class 5 Group F,"Simples feminino - classe 5, grupo F",EventUnit,15,HATH,N,Y,Women's Singles - Class 5 Group F Match 1,Group F,Grupo F
TT,W,005,F,02,Y,0,Women's Singles - Class 5 Group F,"Simples fem - classe 5, grupo F",Women's Singles - Class 5 Group F,"Simples feminino - classe 5, grupo F",EventUnit,15,HATH,N,Y,Women's Singles - Class 5 Group F Match 2,Group F,Grupo F
TT,W,005,F,03,Y,0,Women's Singles - Class 5 Group F,"Simples fem - classe 5, grupo F",Women's Singles - Class 5 Group F,"Simples feminino - classe 5, grupo F",EventUnit,15,HATH,N,Y,Women's Singles - Class 5 Group F Match 3,Group F,Grupo F
TT,W,005,F,04,Y,0,Women's Singles - Class 5 Group F,"Simples fem - classe 5, grupo F",Women's Singles - Class 5 Group F,"Simples feminino - classe 5, grupo F",EventUnit,15,HATH,N,Y,Women's Singles - Class 5 Group F Match 4,Group F,Grupo F
TT,W,005,F,05,Y,0,Women's Singles - Class 5 Group F,"Simples fem - classe 5, grupo F",Women's Singles - Class 5 Group F,"Simples feminino - classe 5, grupo F",EventUnit,15,HATH,N,Y,Women's Singles - Class 5 Group F Match 5,Group F,Grupo F
TT,W,005,F,06,Y,0,Women's Singles - Class 5 Group F,"Simples fem - classe 5, grupo F",Women's Singles - Class 5 Group F,"Simples feminino - classe 5, grupo F",EventUnit,15,HATH,N,Y,Women's Singles - Class 5 Group F Match 6,Group F,Grupo F
TT,W,005,M,00,Y,0,Women's Singles - Class 5 VC,"Simples fem - classe 5, premiação",Women's Singles - Class 5 Victory Ceremony,"Simples feminino - classe 5, cerimônia de premiação",Medals,17,NONE,N,Y,Women's Singles - Class 5 Victory Ceremony,Victory Ceremony,Cerimônia de premiação
TT,W,006,0,00,N,0,Women's Singles - Class 6,Simples feminino - classe 6,Women's Singles - Class 6,Simples feminino - classe 6,Event,13,NONE,N,N,Women's Singles - Class 6,"",""
TT,W,006,1,00,N,0,Women's Singles - Cl 6 Finals,"Simples feminino - classe 6, finais",Women's Singles - Class 6 Finals,"Simples feminino - classe 6, finais",Phase,14,NONE,N,N,Women's Singles - Class 6 Finals,Finals,Finais
TT,W,006,1,01,Y,1,Women's Singles - Cl 6 Gold Medal Match,"Simples feminino - classe 6, ouro",Women's Singles - Class 6 Gold Medal Match,"Simples feminino - classe 6, disputa pelo ouro",EventUnit,15,HATH,N,Y,Women's Singles - Class 6 Gold Medal Match,Gold Medal Match,Disputa pelo ouro
TT,W,006,1,02,Y,2,Women's Singles - Cl 6 Bronze Mdl Match,"Simples feminino - classe 6, bronze",Women's Singles - Class 6 Bronze Medal Match,"Simples feminino - classe 6, disputa pelo bronze",EventUnit,15,HATH,N,Y,Women's Singles - Class 6 Bronze Medal Match,Bronze Medal Match,Disputa pelo bronze
TT,W,006,2,00,N,0,Women's Singles - Class 6 Semifinals,"Simples fem - classe 6, semifinais",Women's Singles - Class 6 Semifinals,"Simples feminino - classe 6, semifinais",Phase,14,NONE,N,N,Women's Singles - Class 6 Semifinals,Semifinals,Semifinais
TT,W,006,2,01,Y,0,Women's Singles - Class 6 Semifinal 1,"Simples fem - classe 6, semifinal 1",Women's Singles - Class 6 Semifinal 1,"Simples feminino - classe 6, semifinal 1",EventUnit,15,HATH,N,Y,Women's Singles - Class 6 Semifinal 1,Semifinal 1,Semifinal 1
TT,W,006,2,02,Y,0,Women's Singles - Class 6 Semifinal 2,"Simples fem - classe 6, semifinal 2",Women's Singles - Class 6 Semifinal 2,"Simples feminino - classe 6, semifinal 2",EventUnit,15,HATH,N,Y,Women's Singles - Class 6 Semifinal 2,Semifinal 2,Semifinal 2
TT,W,006,3,00,N,0,Women's Singles - Cl 6 Quarterfinals,"Simples fem - classe 6, quartas",Women's Singles - Class 6 Quarterfinals,"Simples feminino - classe 6, quartas de final",Phase,14,NONE,N,N,Women's Singles - Class 6 Quarterfinals,Quarterfinals,Quartas de finais
TT,W,006,3,01,Y,0,Women's Singles - Cl 6 Quarterfinal 1,"Simples fem - classe 6, quartas 1",Women's Singles - Class 6 Quarterfinal 1,"Simples feminino - classe 6, quartas de final 1",EventUnit,15,HATH,N,Y,Women's Singles - Class 6 Quarterfinal 1,Quarterfinal 1,Quartas de final 1
TT,W,006,3,02,Y,0,Women's Singles - Cl 6 Quarterfinal 2,"Simples fem - classe 6, quartas 2",Women's Singles - Class 6 Quarterfinal 2,"Simples feminino - classe 6, quartas de final 2",EventUnit,15,HATH,N,Y,Women's Singles - Class 6 Quarterfinal 2,Quarterfinal 2,Quartas de final 2
TT,W,006,3,03,Y,0,Women's Singles - Cl 6 Quarterfinal 3,"Simples fem - classe 6, quartas 3",Women's Singles - Class 6 Quarterfinal 3,"Simples feminino - classe 6, quartas de final 3",EventUnit,15,HATH,N,Y,Women's Singles - Class 6 Quarterfinal 3,Quarterfinal 3,Quartas de final 3
TT,W,006,3,04,Y,0,Women's Singles - Cl 6 Quarterfinal 4,"Simples fem - classe 6, quartas 4",Women's Singles - Class 6 Quarterfinal 4,"Simples feminino - classe 6, quartas de final 4",EventUnit,15,HATH,N,Y,Women's Singles - Class 6 Quarterfinal 4,Quarterfinal 4,Quartas de final 4
TT,W,006,4,00,N,0,Women's Singles - Class 6 First Round,"Simples fem - classe 6, oitavas",Women's Singles - Class 6 First Round,"Simples feminino - classe 6, oitavas de final",Phase,14,NONE,N,N,Women's Singles - Class 6 First Round,First Round,Oitavas de final
TT,W,006,4,01,Y,0,Women's Singles - Class 6 First Round,"Simples fem - classe 6, oitavas",Women's Singles - Class 6 First Round,"Simples feminino - classe 6, oitavas de final",EventUnit,15,HATH,N,Y,Women's Singles - Class 6 First Round Match 1,First Round,Oitavas de final
TT,W,006,4,02,Y,0,Women's Singles - Class 6 First Round,"Simples fem - classe 6, oitavas",Women's Singles - Class 6 First Round,"Simples feminino - classe 6, oitavas de final",EventUnit,15,HATH,N,Y,Women's Singles - Class 6 First Round Match 2,First Round,Oitavas de final
TT,W,006,4,03,Y,0,Women's Singles - Class 6 First Round,"Simples fem - classe 6, oitavas",Women's Singles - Class 6 First Round,"Simples feminino - classe 6, oitavas de final",EventUnit,15,HATH,N,Y,Women's Singles - Class 6 First Round Match 3,First Round,Oitavas de final
TT,W,006,4,04,Y,0,Women's Singles - Class 6 First Round,"Simples fem - classe 6, oitavas",Women's Singles - Class 6 First Round,"Simples feminino - classe 6, oitavas de final",EventUnit,15,HATH,N,Y,Women's Singles - Class 6 First Round Match 4,First Round,Oitavas de final
TT,W,006,4,05,Y,0,Women's Singles - Class 6 First Round,"Simples fem - classe 6, oitavas",Women's Singles - Class 6 First Round,"Simples feminino - classe 6, oitavas de final",EventUnit,15,HATH,N,Y,Women's Singles - Class 6 First Round Match 5,First Round,Oitavas de final
TT,W,006,4,06,Y,0,Women's Singles - Class 6 First Round,"Simples fem - classe 6, oitavas",Women's Singles - Class 6 First Round,"Simples feminino - classe 6, oitavas de final",EventUnit,15,HATH,N,Y,Women's Singles - Class 6 First Round Match 6,First Round,Oitavas de final
TT,W,006,4,07,Y,0,Women's Singles - Class 6 First Round,"Simples fem - classe 6, oitavas",Women's Singles - Class 6 First Round,"Simples feminino - classe 6, oitavas de final",EventUnit,15,HATH,N,Y,Women's Singles - Class 6 First Round Match 7,First Round,Oitavas de final
TT,W,006,4,08,Y,0,Women's Singles - Class 6 First Round,"Simples fem - classe 6, oitavas",Women's Singles - Class 6 First Round,"Simples feminino - classe 6, oitavas de final",EventUnit,15,HATH,N,Y,Women's Singles - Class 6 First Round Match 8,First Round,Oitavas de final
TT,W,006,9,00,N,0,Women's Singles - Cl 6 Preliminaries,"Simples fem - classe 6,fase de grupos",Women's Singles - Class 6 Preliminaries,"Simples feminino - classe 6, fase de grupos",Phase,14,NONE,N,N,Women's Singles - Class 6 Preliminaries,Preliminaries,Fase de grupos
TT,W,006,A,01,Y,0,Women's Singles - Class 6 Group A,"Simples fem - classe 6, grupo A",Women's Singles - Class 6 Group A,"Simples feminino - classe 6, grupo A",EventUnit,15,HATH,N,Y,Women's Singles - Class 6 Group A Match 1,Group A,Grupo A
TT,W,006,A,02,Y,0,Women's Singles - Class 6 Group A,"Simples fem - classe 6, grupo A",Women's Singles - Class 6 Group A,"Simples feminino - classe 6, grupo A",EventUnit,15,HATH,N,Y,Women's Singles - Class 6 Group A Match 2,Group A,Grupo A
TT,W,006,A,03,Y,0,Women's Singles - Class 6 Group A,"Simples fem - classe 6, grupo A",Women's Singles - Class 6 Group A,"Simples feminino - classe 6, grupo A",EventUnit,15,HATH,N,Y,Women's Singles - Class 6 Group A Match 3,Group A,Grupo A
TT,W,006,A,04,Y,0,Women's Singles - Class 6 Group A,"Simples fem - classe 6, grupo A",Women's Singles - Class 6 Group A,"Simples feminino - classe 6, grupo A",EventUnit,15,HATH,N,Y,Women's Singles - Class 6 Group A Match 4,Group A,Grupo A
TT,W,006,A,05,Y,0,Women's Singles - Class 6 Group A,"Simples fem - classe 6, grupo A",Women's Singles - Class 6 Group A,"Simples feminino - classe 6, grupo A",EventUnit,15,HATH,N,Y,Women's Singles - Class 6 Group A Match 5,Group A,Grupo A
TT,W,006,A,06,Y,0,Women's Singles - Class 6 Group A,"Simples fem - classe 6, grupo A",Women's Singles - Class 6 Group A,"Simples feminino - classe 6, grupo A",EventUnit,15,HATH,N,Y,Women's Singles - Class 6 Group A Match 6,Group A,Grupo A
TT,W,006,B,01,Y,0,Women's Singles - Class 6 Group B,"Simples fem - classe 6, grupo B",Women's Singles - Class 6 Group B,"Simples feminino - classe 6, grupo B",EventUnit,15,HATH,N,Y,Women's Singles - Class 6 Group B Match 1,Group B,Grupo B
TT,W,006,B,02,Y,0,Women's Singles - Class 6 Group B,"Simples fem - classe 6, grupo B",Women's Singles - Class 6 Group B,"Simples feminino - classe 6, grupo B",EventUnit,15,HATH,N,Y,Women's Singles - Class 6 Group B Match 2,Group B,Grupo B
TT,W,006,B,03,Y,0,Women's Singles - Class 6 Group B,"Simples fem - classe 6, grupo B",Women's Singles - Class 6 Group B,"Simples feminino - classe 6, grupo B",EventUnit,15,HATH,N,Y,Women's Singles - Class 6 Group B Match 3,Group B,Grupo B
TT,W,006,B,04,Y,0,Women's Singles - Class 6 Group B,"Simples fem - classe 6, grupo B",Women's Singles - Class 6 Group B,"Simples feminino - classe 6, grupo B",EventUnit,15,HATH,N,Y,Women's Singles - Class 6 Group B Match 4,Group B,Grupo B
TT,W,006,B,05,Y,0,Women's Singles - Class 6 Group B,"Simples fem - classe 6, grupo B",Women's Singles - Class 6 Group B,"Simples feminino - classe 6, grupo B",EventUnit,15,HATH,N,Y,Women's Singles - Class 6 Group B Match 5,Group B,Grupo B
TT,W,006,B,06,Y,0,Women's Singles - Class 6 Group B,"Simples fem - classe 6, grupo B",Women's Singles - Class 6 Group B,"Simples feminino - classe 6, grupo B",EventUnit,15,HATH,N,Y,Women's Singles - Class 6 Group B Match 6,Group B,Grupo B
TT,W,006,C,01,Y,0,Women's Singles - Class 6 Group C,"Simples fem - classe 6, grupo C",Women's Singles - Class 6 Group C,"Simples feminino - classe 6, grupo C",EventUnit,15,HATH,N,Y,Women's Singles - Class 6 Group C Match 1,Group C,Grupo C
TT,W,006,C,02,Y,0,Women's Singles - Class 6 Group C,"Simples fem - classe 6, grupo C",Women's Singles - Class 6 Group C,"Simples feminino - classe 6, grupo C",EventUnit,15,HATH,N,Y,Women's Singles - Class 6 Group C Match 2,Group C,Grupo C
TT,W,006,C,03,Y,0,Women's Singles - Class 6 Group C,"Simples fem - classe 6, grupo C",Women's Singles - Class 6 Group C,"Simples feminino - classe 6, grupo C",EventUnit,15,HATH,N,Y,Women's Singles - Class 6 Group C Match 3,Group C,Grupo C
TT,W,006,C,04,Y,0,Women's Singles - Class 6 Group C,"Simples fem - classe 6, grupo C",Women's Singles - Class 6 Group C,"Simples feminino - classe 6, grupo C",EventUnit,15,HATH,N,Y,Women's Singles - Class 6 Group C Match 4,Group C,Grupo C
TT,W,006,C,05,Y,0,Women's Singles - Class 6 Group C,"Simples fem - classe 6, grupo C",Women's Singles - Class 6 Group C,"Simples feminino - classe 6, grupo C",EventUnit,15,HATH,N,Y,Women's Singles - Class 6 Group C Match 5,Group C,Grupo C
